img, label, ecd.nm, minor.ax.len.nm, major.ax.len.nm, ar, solidity
1, 3, 77.3112, 76.6439, 78.0612, 1.01849, 0.981231
1, 4, 73.8899, 73.5154, 74.4491, 1.0127, 0.976206
1, 5, 72.5718, 72.071, 73.2294, 1.01607, 0.985273
1, 6, 85.2328, 84.9022, 85.7429, 1.0099, 0.979035
1, 7, 87.8213, 87.1235, 88.5941, 1.01688, 0.984921
1, 8, 74.6219, 72.7505, 76.6551, 1.05367, 0.984427
1, 9, 78.8475, 78.043, 79.799, 1.0225, 0.983689
1, 10, 56.8109, 55.416, 58.5765, 1.05703, 0.984
1, 11, 100.221, 98.7928, 101.83, 1.03075, 0.981322
1, 12, 72.2353, 71.2206, 73.4857, 1.0318, 0.975815
1, 13, 63.391, 62.3433, 64.6292, 1.03667, 0.975876
1, 14, 82.8239, 82.289, 83.447, 1.01407, 0.97522
1, 15, 87.2324, 85.2025, 89.3904, 1.04915, 0.982813
1, 16, 68.6022, 67.4728, 69.8835, 1.03573, 0.98432
1, 18, 79.9452, 78.3808, 81.6416, 1.0416, 0.985834
1, 19, 79.5809, 77.3449, 81.9609, 1.05968, 0.979704
1, 20, 76.776, 74.8637, 78.8738, 1.05356, 0.982812
1, 21, 85.8572, 85.1316, 86.8592, 1.02029, 0.972792
1, 22, 69.5788, 67.9255, 71.4099, 1.0513, 0.977668
1, 23, 84.8582, 83.8472, 86.1723, 1.02773, 0.967271
1, 24, 85.3207, 84.5478, 86.1669, 1.01915, 0.985037
1, 25, 85.6715, 85.1145, 86.4078, 1.0152, 0.979735
1, 26, 76.5437, 75.6008, 77.6302, 1.02684, 0.983019
1, 27, 79.9334, 79.3639, 80.6126, 1.01573, 0.978192
1, 28, 55.8627, 55.348, 56.5269, 1.0213, 0.978261
1, 29, 99.2528, 98.8055, 99.7886, 1.00995, 0.983165
1, 30, 76.8614, 74.8541, 78.9468, 1.05468, 0.97949
1, 31, 58.8048, 58.0597, 59.7383, 1.02891, 0.967488
1, 32, 80.1325, 79.043, 81.3592, 1.0293, 0.978857
1, 33, 85.2218, 84.7475, 85.7968, 1.01238, 0.985754
1, 34, 80.4942, 79.8717, 81.2683, 1.01749, 0.977935
1, 35, 62.7371, 62.2354, 63.3929, 1.0186, 0.979021
1, 36, 61.3169, 59.6601, 63.1388, 1.05831, 0.981409
1, 37, 74.2063, 72.908, 75.7856, 1.03947, 0.966447
1, 38, 52.6857, 52.103, 53.4167, 1.02521, 0.97885
1, 39, 67.4172, 66.3269, 68.6141, 1.03448, 0.982975
1, 40, 99.3283, 97.8017, 101.038, 1.03309, 0.976442
1, 41, 78.9306, 77.7811, 80.1477, 1.03043, 0.98285
1, 42, 84.1595, 83.1781, 85.3051, 1.02557, 0.975226
1, 43, 89.0189, 87.8714, 90.2514, 1.02709, 0.981658
1, 44, 90.636, 89.3361, 92.0416, 1.03029, 0.983838
1, 45, 84.2597, 83.0337, 85.5712, 1.03056, 0.985432
1, 46, 65.6281, 64.9879, 66.513, 1.02347, 0.973316
1, 47, 67.5006, 66.491, 68.7154, 1.03345, 0.977876
1, 48, 67.4867, 66.7009, 68.4467, 1.02617, 0.979444
1, 49, 88.279, 87.9397, 88.7178, 1.00885, 0.984375
1, 50, 87.4041, 86.1909, 88.6991, 1.0291, 0.987164
1, 51, 95.9791, 95.4286, 96.6137, 1.01242, 0.978304
1, 52, 58.5013, 57.9585, 59.1589, 1.02071, 0.983306
1, 53, 52.1493, 51.0411, 53.4587, 1.04737, 0.977104
1, 54, 53.655, 53.0285, 54.4169, 1.02618, 0.978967
1, 55, 80.657, 79.7798, 81.661, 1.02358, 0.983565
1, 56, 100.519, 98.1217, 103.073, 1.05046, 0.974688
1, 57, 90.9559, 89.5194, 92.5914, 1.03432, 0.980889
1, 58, 82.903, 81.8209, 84.126, 1.02817, 0.981268
1, 59, 84.8692, 82.6654, 87.2584, 1.05556, 0.983116
